n_features,accuracy,auc,spd,di,eod,aod
2,0.9502810962754743,0.9747813249482614,-0.036835857041291276,0.9220940844251021,0.021005123174830276,0.014401230263443688
3,0.9509712880232908,0.976572973618807,-0.04055502622793472,0.9152085339667491,0.01631303395318784,0.010672015321804326
5,0.9509085433189439,0.9795477243082338,-0.039477613831981895,0.9170163215041881,0.01780068604472329,0.01176858911286377
7,0.9510591306093765,0.9798426417215631,-0.03989219347296763,0.9162683172689801,0.0174876450676823,0.011386717421490108
